[1/898] s28000000004_p1 trunc=0/9957 1.47s
[2/898] s28000000007_p3 trunc=0/10348 1.73s
[3/898] s28000000011_p24 trunc=0/9186 2.728s
[4/898] s28000000008_p15 trunc=0/10552 2.897s
[5/898] s28000000005_p19 trunc=0/10498 3.371s
[6/898] s28000000010_p48 trunc=0/9227 5.039s
[7/898] s28000000014_p7 trunc=0/9898 1.805s
[8/898] s28000000004_p44 trunc=0/10219 5.576s
[9/898] s28000000007_p53 trunc=0/10254 5.842s
[10/898] s28000000009_p47 trunc=0/10420 6.052s
[11/898] s28000000002_p67 trunc=0/9245 6.136s
[12/898] s28000000013_p20 trunc=0/10301 3.695s
[13/898] s28000000000_p66 trunc=0/10245 6.703s
[14/898] s28000000006_p90 trunc=0/10464 6.725s
[15/898] s28000000003_p66 trunc=0/9318 7.105s
[16/898] s28000000010_p69 trunc=0/9848 7.313s
[17/898] s28000000008_p124 trunc=0/9906 7.825s
[18/898] s28000000012_p69 trunc=0/10271 7.039s
[19/898] s28000000006_p108 trunc=0/11008 8.667s
[20/898] s28000000000_p75 trunc=0/10444 8.724s
[21/898] s28000000003_p80 trunc=0/9714 8.742s
[22/898] s28000000002_p115 trunc=0/9462 9.229s
[23/898] s28000000012_p71 trunc=0/9470 8.048s
[24/898] s28000000016_p34 trunc=0/9466 4.148s
[25/898] s28000000001_p104 trunc=0/10014 10.118s
[26/898] s28000000015_p42 trunc=0/9380 4.934s
[27/898] s28000000011_p109 trunc=0/8862 10.115s
[28/898] s28000000014_p45 trunc=0/9449 5.358s
[29/898] s28000000019_p30 trunc=0/9304 3.451s
[30/898] s28000000005_p91 trunc=0/10402 10.638s
[31/898] s28000000001_p102 trunc=0/10273 11.1s
[32/898] s28000000019_p35 trunc=0/10169 4.294s
[33/898] s28000000016_p45 trunc=0/10631 5.574s
[34/898] s28000000024_p6 trunc=0/10038 2.437s
[35/898] s28000000018_p83 trunc=0/8232 6.03s
[36/898] s28000000025_p13 trunc=0/10944 2.996s
[37/898] s28000000009_p137 trunc=0/9899 13.439s
[38/898] s28000000027_p15 trunc=0/9734 2.818s
[39/898] s28000000017_p73 trunc=0/9418 7.914s
[40/898] s28000000022_p52 trunc=0/10565 5.825s
[41/898] s28000000029_p11 trunc=0/10486 2.067s
[42/898] s28000000026_p38 trunc=0/9828 5.021s
[43/898] s28000000020_p61 trunc=0/9703 8.03s
[44/898] s28000000026_p46 trunc=0/9537 5.431s
[45/898] s28000000013_p126 trunc=0/10254 13.388s
[46/898] s28000000024_p52 trunc=0/9354 6.402s
[47/898] s28000000018_p93 trunc=0/10070 9.819s
[48/898] s28000000020_p96 trunc=0/8088 8.931s
[49/898] s28000000021_p112 trunc=0/10394 9.181s
[50/898] s28000000031_p45 trunc=0/10126 5.153s
[51/898] s28000000017_p136 trunc=0/7531 12.804s
[52/898] s28000000021_p126 trunc=0/8409 10.972s
[53/898] s28000000022_p108 trunc=0/9971 10.701s
[54/898] s28000000035_p25 trunc=0/10768 3.476s
[55/898] s28000000028_p61 trunc=0/10065 8.564s
[56/898] s28000000029_p70 trunc=0/9840 7.17s
[57/898] s28000000036_p16 trunc=0/10465 2.677s
[58/898] s28000000015_p131 trunc=0/9060 15.205s
[59/898] s28000000039_p5 trunc=0/9991 1.716s
[60/898] s28000000038_p10 trunc=0/10439 2.027s
[61/898] s28000000025_p118 trunc=0/9858 11.561s
[62/898] s28000000023_p98 trunc=0/10194 12.558s
[63/898] s28000000030_p85 trunc=0/9135 9.117s
